"","Species","states"
"312","Presbytis_natunae",1
"313","Presbytis_potenziani",1
"314","Presbytis_rubincunda",1
"315","Presbytis_siamensis",1
"316","Presbytis_thomasi",1
"317","Procolobus_verus",1
"318","Pygathrix_cinerea",1
"319","Pygathrix_nemaeus",1
"320","Pygathrix_nigripes",1
"321","Rhinopithecus_avunculus",1
"322","Rhinopithecus_bieti",1
"323","Rhinopithecus_brelichi",1
"324","Rhinopithecus_roxellana",1
"325","Rungwecebus_kipunji",1
"326","Saguinus_bicolor",0
"327","Saguinus_fuscicollis",0
"328","Saguinus_geoffroyi",0
"329","Saguinus_graellsi",0
"330","Saguinus_imperator",0
"331","Saguinus_inustus",0
"332","Saguinus_labiatus",0
"333","Saguinus_leucopus",0
"334","Saguinus_martinsi",0
"335","Saguinus_melanoleucus",0
"336","Saguinus_midas",0
"337","Saguinus_mystax",0
"338","Saguinus_niger",0
"339","Saguinus_nigricollis",0
"340","Saguinus_oedipus",0
"341","Saguinus_pileatus",0
"342","Saguinus_tripartitus",0
"343","Saimiri_boliviensis",0
"344","Saimiri_oerstedii",0
"345","Saimiri_sciureus",0
"346","Saimiri_ustus",0
"347","Saimiri_vanzolinii",0
"348","Semnopithecus_ajax",1
"349","Semnopithecus_dussumieri",1
"350","Semnopithecus_entellus",1
"351","Semnopithecus_hector",1
"352","Semnopithecus_hypoleucos",1
"353","Semnopithecus_priam",1
"354","Semnopithecus_shistaceus",1
"355","Simias_concolor",1
"356","Symphalangus_syndactylus",0
"357","Theropithecus_gelada",1
"358","Trachypithecus_auratus",1
"359","Trachypithecus_barbei",1
"360","Trachypithecus_cristatus",1
"361","Trachypithecus_delacouri",1
"362","Trachypithecus_ebenus",1
"363","Trachypithecus_francoisi",1
"364","Trachypithecus_geei",1
"365","Trachypithecus_germaini",1
"366","Trachypithecus_hatinhensis",1
"367","Trachypithecus_johnii",1
"368","Trachypithecus_laotum",1
"369","Trachypithecus_obscurus",1
"370","Trachypithecus_phayrei",1
"371","Trachypithecus_pileatus",1
"372","Trachypithecus_poliocephalus",1
"373","Trachypithecus_shortrigei",1
"374","Trachypithecus_vetulus",1
"375","Tarsius_bancanus",1
"376","Tarsius_dentatus",1
"377","Tarsius_pelengensis",1
"378","Tarsius_pumilus",1
"379","Tarsius_sangirensis",1
"380","Tarsius_syrichta",1
"381","Tarsius_tarsier",1
